#name undefined
#comment terafly_annotations
#n type x y z radius parent seg_id level mode timestamp TFresindex
50418 2 12594.667 19752.666 4202.427 1.000 50419 0 8680820738548039680 0 0 0
50417 2 12593.777 19755.111 4203.093 1.000 50418 0 8680820738548039680 0 0 0
50413 2 12584.889 19766.889 4206.427 1.000 50414 0 8680820738548039680 0 0 0
50414 2 12587.111 19765.334 4206.205 1.000 50415 0 8680820738548039680 0 0 0
50412 2 12583.333 19773.111 4206.649 1.000 50413 0 8680820738548039680 0 0 0
50411 2 12582.223 19774.666 4207.983 1.000 50412 0 8680820738548039680 0 0 0
50410 2 12582.000 19776.666 4209.761 1.000 50411 0 8680820738548039680 0 0 0
50409 2 12581.777 19781.111 4211.094 1.000 50410 0 8680820738548039680 0 0 0
50408 2 12580.667 19782.889 4212.206 1.000 50409 0 8680820738548039680 0 0 0
50416 2 12592.000 19758.000 4204.427 1.000 50417 0 8680820738548039680 0 0 0
50415 2 12588.667 19762.445 4204.649 1.000 50416 0 8680820738548039680 0 0 0
50422 2 12607.333 19735.111 4198.648 1.000 50423 0 8680820738548039680 0 0 0
50421 2 12606.000 19736.666 4199.760 1.000 50422 0 8680820738548039680 0 0 0
50407 2 12580.000 19786.000 4212.428 1.000 50408 0 8680820738548039680 0 0 0
50406 2 12580.000 19807.334 4219.095 1.000 50407 0 8680820738548039680 0 0 0
50405 2 12580.000 19812.666 4221.762 1.000 50406 0 8680820738548039680 0 0 0
50404 2 12580.000 19817.777 4222.651 1.000 50405 0 8680820738548039680 0 0 0
50402 2 12579.111 19825.111 4224.429 1.000 50403 0 8680820738548039680 0 0 0
50403 2 12580.000 19822.223 4224.207 1.000 50404 0 8680820738548039680 0 0 0
50401 2 12574.667 19828.666 4224.429 1.000 50402 0 8680820738548039680 0 0 0
50400 2 12574.000 19832.000 4224.429 1.000 50401 0 8680820738548039680 0 0 0
50396 2 12570.667 19858.000 4227.096 1.000 50397 0 8680820738548039680 0 0 0
50395 2 12570.667 19859.555 4228.207 1.000 50396 0 8680820738548039680 0 0 0
50399 2 12573.777 19845.777 4224.429 1.000 50400 0 8680820738548039680 0 0 0
50398 2 12572.000 19850.223 4226.207 1.000 50399 0 8680820738548039680 0 0 0
50397 2 12571.777 19855.777 4226.429 1.000 50398 0 8680820738548039680 0 0 0
50394 2 12572.000 19864.000 4228.429 1.000 50395 0 8680820738548039680 0 0 0
50393 2 12572.000 19867.777 4228.652 1.000 50394 0 8680820738548039680 0 0 0
50392 2 12572.000 19872.223 4230.208 1.000 50393 0 8680820738548039680 0 0 0
50391 2 12572.000 19877.777 4230.652 1.000 50392 0 8680820738548039680 0 0 0
50337 2 12570.667 19896.223 4235.764 1.000 50338 0 8680820738548039680 0 0 0
50336 2 12570.000 19900.666 4237.764 1.000 50337 0 8680820738548039680 0 0 0
50335 2 12569.777 19907.777 4238.431 1.000 50336 0 8680820738548039680 0 0 0
50334 2 12569.333 19909.111 4238.653 1.000 50335 0 8680820738548039680 0 0 0
50333 2 12567.333 19911.555 4240.208 1.000 50334 0 8680820738548039680 0 0 0
50332 2 12566.223 19914.223 4240.431 1.000 50333 0 8680820738548039680 0 0 0
50331 2 12566.667 19917.334 4240.431 1.000 50332 0 8680820738548039680 0 0 0
50330 2 12567.556 19919.334 4241.097 1.000 50331 0 8680820738548039680 0 0 0
50329 2 12566.000 19923.334 4243.098 1.000 50330 0 8680820738548039680 0 0 0
50328 2 12566.000 19937.777 4248.654 1.000 50329 0 8680820738548039680 0 0 0
50327 2 12564.667 19940.889 4250.209 1.000 50328 0 8680820738548039680 0 0 0
50326 2 12564.000 19943.777 4250.654 1.000 50327 0 8680820738548039680 0 0 0
50390 2 12572.000 19890.223 4234.208 1.000 50391 0 8680820738548039680 0 0 0
50338 2 12572.000 19894.000 4234.430 1.000 -1 0 8680820738548039680 0 0 0
50389 2 12572.000 19894.000 4234.430 1.000 50390 0 8680820738548039680 0 0 0
50325 2 12564.223 19950.445 4253.765 1.000 50326 0 8680820738548039680 0 0 0
50324 2 12564.667 19951.555 4254.210 1.000 50325 0 8680820738548039680 0 0 0
50323 2 12567.333 19954.445 4254.654 1.000 50324 0 8680820738548039680 0 0 0
50322 2 12568.223 19960.445 4257.766 1.000 50323 0 8680820738548039680 0 0 0
50321 2 12570.000 19965.334 4259.099 1.000 50322 0 8680820738548039680 0 0 0
50320 2 12570.000 19969.334 4261.099 1.000 50321 0 8680820738548039680 0 0 0
50319 2 12570.000 19972.666 4263.767 1.000 50320 0 8680820738548039680 0 0 0
50318 2 12570.000 19981.334 4265.100 1.000 50319 0 8680820738548039680 0 0 0
50317 2 12570.000 19984.666 4267.767 1.000 50318 0 8680820738548039680 0 0 0
50316 2 12570.000 19987.777 4268.656 1.000 50317 0 8680820738548039680 0 0 0
50315 2 12568.667 19990.889 4270.211 1.000 50316 0 8680820738548039680 0 0 0
50314 2 12566.667 19994.445 4270.656 1.000 50315 0 8680820738548039680 0 0 0
50313 2 12565.777 19998.000 4272.212 1.000 50314 0 8680820738548039680 0 0 0
50312 2 12564.223 20001.555 4273.101 1.000 50313 0 8680820738548039680 0 0 0
50310 2 12562.223 20024.000 4278.657 1.000 50311 0 8680820738548039680 0 0 0
50311 2 12563.777 20020.000 4278.212 1.000 50312 0 8680820738548039680 0 0 0
50309 2 12561.777 20028.000 4280.212 1.000 50310 0 8680820738548039680 0 0 0
50308 2 12560.667 20030.445 4280.657 1.000 50309 0 8680820738548039680 0 0 0
50307 2 12559.333 20035.334 4282.435 1.000 50308 0 8680820738548039680 0 0 0
50306 2 12556.223 20040.000 4284.657 1.000 50307 0 8680820738548039680 0 0 0
50305 2 12555.777 20048.445 4287.769 1.000 50306 0 8680820738548039680 0 0 0
58608 2 12704.889 19645.111 4166.423 1.000 58609 0 8680820738548039680 0 0 0
50449 2 12684.444 19662.666 4174.202 1.000 50450 0 8680820738548039680 0 0 0
50448 2 12681.333 19665.334 4174.424 1.000 50449 0 8680820738548039680 0 0 0
50453 2 12695.556 19657.334 4168.646 1.000 50454 0 8680820738548039680 0 0 0
50454 2 12696.444 19656.445 4168.423 1.000 50455 0 8680820738548039680 0 0 0
50455 2 12698.667 19654.666 4168.423 1.000 50456 0 8680820738548039680 0 0 0
50456 2 12703.777 19653.777 4168.423 1.000 50457 0 8680820738548039680 0 0 0
50450 2 12689.111 19661.777 4171.757 1.000 50451 0 8680820738548039680 0 0 0
50451 2 12690.000 19661.334 4171.090 1.000 50452 0 8680820738548039680 0 0 0
50452 2 12692.444 19658.666 4170.201 1.000 50453 0 8680820738548039680 0 0 0
50445 2 12668.667 19670.666 4178.424 1.000 50446 0 8680820738548039680 0 0 0
50444 2 12665.556 19673.334 4178.646 1.000 50445 0 8680820738548039680 0 0 0
50443 2 12662.444 19676.445 4180.424 1.000 50444 0 8680820738548039680 0 0 0
50446 2 12672.444 19669.777 4177.091 1.000 50447 0 8680820738548039680 0 0 0
50447 2 12676.000 19666.223 4176.202 1.000 50448 0 8680820738548039680 0 0 0
50440 2 12653.556 19685.334 4182.647 1.000 50441 0 8680820738548039680 0 0 0
50439 2 12648.889 19686.889 4184.425 1.000 50440 0 8680820738548039680 0 0 0
50438 2 12646.667 19690.445 4184.647 1.000 50439 0 8680820738548039680 0 0 0
50442 2 12658.667 19680.445 4180.647 1.000 50443 0 8680820738548039680 0 0 0
50441 2 12657.111 19683.334 4182.203 1.000 50442 0 8680820738548039680 0 0 0
